<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDCB;D;06/10/11;000000;32.6374000
USDCB;D;07/10/11;000000;32.5085000
USDCB;D;08/10/11;000000;32.2005000
USDCB;D;11/10/11;000000;32.0096000
USDCB;D;12/10/11;000000;31.4270000
USDCB;D;13/10/11;000000;31.4151000
USDCB;D;14/10/11;000000;31.2014000
USDCB;D;15/10/11;000000;30.9905000
USDCB;D;18/10/11;000000;30.7370000
USDCB;D;19/10/11;000000;30.9694000
USDCB;D;20/10/11;000000;30.9257000
USDCB;D;21/10/11;000000;31.3788000
USDCB;D;22/10/11;000000;31.3361000
USDCB;D;25/10/11;000000;30.8255000
USDCB;D;26/10/11;000000;30.4971000
USDCB;D;27/10/11;000000;30.5732000
USDCB;D;28/10/11;000000;30.2421000
USDCB;D;29/10/11;000000;29.8977000
USDCB;D;01/11/11;000000;30.1245000
USDCB;D;02/11/11;000000;30.6448000
USDCB;D;03/11/11;000000;30.6830000
USDCB;D;04/11/11;000000;30.8438000
USDCB;D;08/11/11;000000;30.5694000
USDCB;D;09/11/11;000000;30.5014000
USDCB;D;10/11/11;000000;30.1033000
USDCB;D;11/11/11;000000;30.8454000
USDCB;D;12/11/11;000000;30.5282000
USDCB;D;15/11/11;000000;30.2921000
USDCB;D;16/11/11;000000;30.6600000
USDCB;D;17/11/11;000000;30.8417000
USDCB;D;18/11/11;000000;30.7337000
USDCB;D;19/11/11;000000;30.9190000
USDCB;D;22/11/11;000000;30.9693000
USDCB;D;23/11/11;000000;31.0612000
USDCB;D;24/11/11;000000;31.2133000
USDCB;D;25/11/11;000000;31.4365000
USDCB;D;26/11/11;000000;31.5788000
USDCB;D;29/11/11;000000;31.4117000
USDCB;D;30/11/11;000000;31.3216000
USDCB;D;01/12/11;000000;31.4001000
USDCB;D;02/12/11;000000;30.8486000
USDCB;D;03/12/11;000000;30.8099000
USDCB;D;06/12/11;000000;30.9068000
USDCB;D;07/12/11;000000;31.1026000
USDCB;D;08/12/11;000000;31.1527000
USDCB;D;09/12/11;000000;31.2308000
USDCB;D;10/12/11;000000;31.5691000
USDCB;D;13/12/11;000000;31.4134000
USDCB;D;14/12/11;000000;31.6704000
USDCB;D;15/12/11;000000;31.7655000
USDCB;D;16/12/11;000000;31.8957000
USDCB;D;17/12/11;000000;31.7701000
USDCB;D;20/12/11;000000;32.0323000
USDCB;D;21/12/11;000000;32.0519000
USDCB;D;22/12/11;000000;31.7645000
USDCB;D;23/12/11;000000;31.5634000
USDCB;D;24/12/11;000000;31.2575000
USDCB;D;27/12/11;000000;31.2266000
USDCB;D;28/12/11;000000;31.0847000
USDCB;D;29/12/11;000000;31.5633000
USDCB;D;30/12/11;000000;32.0197000
USDCB;D;31/12/11;000000;32.1961000
USDCB;D;11/01/12;000000;31.8729000
USDCB;D;12/01/12;000000;31.6886000
USDCB;D;13/01/12;000000;31.6807000
USDCB;D;14/01/12;000000;31.5830000
USDCB;D;17/01/12;000000;31.9344000
USDCB;D;18/01/12;000000;31.5445000
USDCB;D;19/01/12;000000;31.5428000
USDCB;D;20/01/12;000000;31.4777000
USDCB;D;21/01/12;000000;31.2879000
USDCB;D;24/01/12;000000;31.3325000
USDCB;D;25/01/12;000000;30.8752000
USDCB;D;26/01/12;000000;30.6670000
USDCB;D;27/01/12;000000;30.3600000
USDCB;D;28/01/12;000000;30.3626000
USDCB;D;31/01/12;000000;30.3647000
USDCB;D;01/02/12;000000;30.3131000
USDCB;D;02/02/12;000000;30.4067000
USDCB;D;03/02/12;000000;30.1855000
USDCB;D;04/02/12;000000;30.2385000
USDCB;D;07/02/12;000000;30.2324000
USDCB;D;08/02/12;000000;30.0871000
USDCB;D;09/02/12;000000;29.6930000
USDCB;D;10/02/12;000000;29.6795000
USDCB;D;11/02/12;000000;29.8923000
USDCB;D;14/02/12;000000;29.8873000
USDCB;D;15/02/12;000000;30.0868000
USDCB;D;16/02/12;000000;29.9440000
USDCB;D;17/02/12;000000;30.2098000
USDCB;D;18/02/12;000000;29.9982000
USDCB;D;21/02/12;000000;29.7805000
USDCB;D;22/02/12;000000;29.7796000
USDCB;D;23/02/12;000000;29.7692000
